,sentiment,review_body,review_tidy,tokens
1,0,Lots of ads<br />Slow processing speed<br />Occasionally shuts down apps<br />WIFI keeps having authentication issues<br /><br />Was cheap for a tablet and now i know why.,Lots Slow processing speed Occasionally shuts apps WIFI keeps authentication issues cheap tablet know,"['lot', 'slow', 'processing', 'speed', 'occasionally', 'shut', 'app', 'wifi', 'keep', 'authentication', 'issue', 'cheap', 'tablet', 'know']"
20,0,Its a nice tablet but I was disappointed to see that they deliberately made using Chromecast impossible,nice tablet disappointed deliberately made using Chromecast impossible,"['nice', 'tablet', 'disappoint', 'deliberately', 'make', 'use', 'chromecast', 'impossible']"
21,0,"Don't waste your money buying a kindle fire hd 7&#34;. You'll do 100 better buying any other tablet on the market. The Kindle is limited by Amazon and purposely doesn't allow downloads of apps that aren't on Amazon market place.  This tablet has soooo many problems !! AS in :  slow connection to internet, NO connection to internet possible much of the time, slow or no connection to videos, games, etc. NO support!!! Just reading other problems from other owners.  So, do yourself a huge favor and buy ANYTHING ELSE!!!  Mine was a gift from my well-meaning son.",waste money buying kindle fire better buying tablet market Kindle limited Amazon purposely allow downloads apps Amazon market place This tablet soooo many problems slow connection internet connection internet possible much time slow connection videos games support Just reading problems owners huge favor ANYTHING ELSE Mine gift well meaning,"['waste', 'money', 'buy', 'kindle', 'fire', 'well', 'buy', 'tablet', 'market', 'kindle', 'limit', 'amazon', 'purposely', 'allow', 'download', 'app', 'amazon', 'market', 'place', 'this', 'tablet', 'soooo', 'many', 'problem', 'slow', 'connection', 'internet', 'connection', 'internet', 'possible', 'much', 'time', 'slow', 'connection', 'video', 'game', 'support', 'just', 'read', 'problem', 'owner', 'huge', 'favor', 'anything', 'else', 'mine', 'gift', 'well', 'mean']"
22,0,"Still just as slow and glitchy as the first edition fire. Still not flash compatible which renders the browser useless. Freezes constantly, crap battery life and regularly occuring issues with loading the page you were on last.  Incredibly disappointing.",Still slow glitchy first edition fire Still flash compatible renders browser useless Freezes constantly crap battery life regularly occuring issues loading page last Incredibly disappointing,"['still', 'slow', 'glitchy', 'first', 'edition', 'fire', 'still', 'flash', 'compatible', 'render', 'browser', 'useless', 'freezes', 'constantly', 'crap', 'battery', 'life', 'regularly', 'occur', 'issue', 'loading', 'page', 'last', 'incredibly', 'disappointing']"
25,0,Doesn't have as much space as I thought it has.,Doesn much space thought,"['doesn', 'much', 'space', 'think']"
27,0,Just have to learn how to use,Just learn,"['just', 'learn']"
35,0,"Won't stay connected to the WiFi, am having to constantly log in no matter where I am (public, home, etc).",stay connected WiFi constantly matter public home,"['stay', 'connected', 'wifi', 'constantly', 'matter', 'public', 'home']"
36,0,The unit came with NO directions of use of any kind.  Don't know how to use it.  Guess I will have to buy a kindle.,unit came directions kind know Guess kindle,"['unit', 'come', 'direction', 'kind', 'know', 'guess', 'kindle']"
40,0,Good value but the operating system is a little buggy. It periodically crashes and requires rebooting.,Good value operating system little buggy periodically crashes requires rebooting,"['good', 'value', 'operate', 'system', 'little', 'buggy', 'periodically', 'crash', 'require', 'reboot']"
41,0,"I find that is not as easy to use as my regular Kindle Fire.  When I am reading the kindle it freezes up (because you hold it on the side).  Also you have to get out of it to brighten or darken your text that you are reading.  Lastly, the advertisements that come up every time you turn the HD Kindle Fire on are annoying.",find easy regular Kindle Fire When reading kindle freezes hold side Also brighten darken text reading Lastly advertisements come every time turn Kindle Fire annoying,"['find', 'easy', 'regular', 'kindle', 'fire', 'when', 'read', 'kindle', 'freeze', 'hold', 'side', 'also', 'brighten', 'darken', 'text', 'read', 'lastly', 'advertisement', 'come', 'every', 'time', 'turn', 'kindle', 'fire', 'annoying']"
42,0,"Returned.  Prefer a more open android tablet.  As far as quality...it is Amazon and they never disappoint.  So, if you are a strict Amazonian - this tablet is for you.<br /><br />The 2 stars are personal choice, not quality.",Returned Prefer open android tablet quality Amazon never disappoint strict Amazonian tablet stars personal choice quality,"['returned', 'prefer', 'open', 'android', 'tablet', 'quality', 'amazon', 'never', 'disappoint', 'strict', 'amazonian', 'tablet', 'star', 'personal', 'choice', 'quality']"
45,0,Can't personalize or connect with google.,personalize connect google,"['personalize', 'connect', 'google']"
64,0,We have two kindle fires. The 7 and the 6. They will not connect to my WiFi and if I finally get them to connect it only lasts for a few minutes. I have tried everything to fix but nothing works. I will never buy another kindle fire... Amazon doesn't offer any help to fix the problem.,kindle fires They connect WiFi finally connect lasts minutes tried everything nothing works never another kindle fire Amazon offer help problem,"['kindle', 'fire', 'they', 'connect', 'wifi', 'finally', 'connect', 'last', 'minute', 'try', 'everything', 'nothing', 'work', 'never', 'another', 'kindle', 'fire', 'amazon', 'offer', 'help', 'problem']"
65,0,My old kindle was actually a better one.The speakers on this one stink.sound is distorted and fuzzy at best.It sounds as if the speakers were blown from the day I got it.it's a fourth generation and if I had to buy again I wouldn't.,kindle actually better speakers stink sound distorted fuzzy best sounds speakers blown fourth generation,"['kindle', 'actually', 'well', 'speaker', 'stink', 'sound', 'distort', 'fuzzy', 'good', 'sound', 'speaker', 'blow', 'fourth', 'generation']"
69,0,"Bad assemble, barely works.",assemble barely works,"['assemble', 'barely', 'work']"
71,0,Cumbersome to use.  Ads pop up all the time.  Carousel hinders more than helps.  I like to use hard copy of instruction manuals but I cannot find a way to print one so ordered one.<br /><br />I think Amazon Prime is great.  The fire is an ok buy for the money.,Cumbersome time Carousel hinders helps like hard copy instruction manuals cannot find print ordered think Amazon Prime great fire money,"['cumbersome', 'time', 'carousel', 'hinder', 'help', 'like', 'hard', 'copy', 'instruction', 'manual', 'can', 'not', 'find', 'print', 'order', 'think', 'amazon', 'prime', 'great', 'fire', 'money']"
79,0,i returned item,returned item,"['return', 'item']"
82,0,Not that great. I bought for my granddaughters as a replacement and not big enough always saying delete out of room.Plus I thought it was all black like there old ones don't care for the white.,great bought granddaughters replacement enough always saying delete room Plus thought black like ones care white,"['great', 'buy', 'granddaughter', 'replacement', 'enough', 'always', 'say', 'delete', 'room', 'plus', 'think', 'black', 'like', 'one', 'care', 'white']"
